
2024/06/21 (10:06:05) | ===> btop++ v.1.3.2
2024/06/21 (10:06:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (13:14:36) | ===> btop++ v.1.3.2
2024/07/10 (13:14:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (17:26:09) | ===> btop++ v.1.3.2
2024/07/10 (17:26:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (17:35:29) | ===> btop++ v.1.3.2
2024/07/10 (17:35:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/15 (17:19:44) | ===> btop++ v.1.3.2
2024/07/15 (17:19:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/19 (08:58:26) | ===> btop++ v.1.3.2
2024/07/19 (08:58:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/25 (16:24:00) | ===> btop++ v.1.3.2
2024/07/25 (16:24:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/30 (14:22:34) | ===> btop++ v.1.3.2
2024/07/30 (14:22:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/06 (11:37:38) | ===> btop++ v.1.3.2
2024/08/06 (11:37:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/06 (16:50:29) | ===> btop++ v.1.3.2
2024/08/06 (16:50:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (12:06:34) | ===> btop++ v.1.3.2
2024/08/07 (12:06:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (12:07:20) | ===> btop++ v.1.3.2
2024/08/08 (12:07:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/14 (10:33:13) | ===> btop++ v.1.3.2
2024/08/14 (10:33:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/16 (08:52:43) | ===> btop++ v.1.3.2
2024/08/16 (08:52:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/16 (11:27:51) | ===> btop++ v.1.3.2
2024/08/16 (11:27:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (19:09:36) | ===> btop++ v.1.3.2
2024/09/02 (19:09:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (09:28:16) | ===> btop++ v.1.3.2
2024/09/03 (09:28:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/20 (18:35:20) | ===> btop++ v.1.4.0
2024/12/20 (18:35:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (18:38:06) | ===> btop++ v.1.4.0
2025/01/02 (18:38:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/14 (11:54:07) | ===> btop++ v.1.4.0
2025/01/14 (11:54:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/15 (11:02:07) | ===> btop++ v.1.4.0
2025/01/15 (11:02:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/19 (10:26:50) | ===> btop++ v.1.4.0
2025/02/19 (10:26:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/14 (13:24:21) | ===> btop++ v.1.4.0
2025/04/14 (13:24:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/06 (17:26:26) | ===> btop++ v.1.4.0
2025/05/06 (17:26:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/05/06 (17:26:27) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (17:38:03) | ===> btop++ v.1.4.0
2025/05/06 (17:38:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/05/06 (17:40:16) | WARNING: Failed to join _runner thread on exit!
